CUST_ID,TARGET,AGE,GENDER,BALANCE,OCCUPATION,AGE_BKT,SCR,HOLDING_PERIOD,ACC_TYPE,ACC_OP_DATE,LEN_OF_RLTN_IN_MNTH,NO_OF_L_CR_TXNS,NO_OF_L_DR_TXNS,TOT_NO_OF_L_TXNS,NO_OF_BR_CSH_WDL_DR_TXNS,NO_OF_ATM_DR_TXNS,NO_OF_NET_DR_TXNS,NO_OF_MOB_DR_TXNS,NO_OF_CHQ_DR_TXNS,FLG_HAS_CC,AMT_ATM_DR,AMT_BR_CSH_WDL_DR,AMT_CHQ_DR,AMT_NET_DR,AMT_MOB_DR,AMT_L_DR,FLG_HAS_ANY_CHGS,AMT_OTH_BK_ATM_USG_CHGS,AMT_MIN_BAL_NMC_CHGS,NO_OF_IW_CHQ_BNC_TXNS,NO_OF_OW_CHQ_BNC_TXNS,AVG_AMT_PER_ATM_TXN,AVG_AMT_PER_CSH_WDL_TXN,AVG_AMT_PER_CHQ_TXN,AVG_AMT_PER_NET_TXN,AVG_AMT_PER_MOB_TXN,FLG_HAS_NOMINEE,FLG_HAS_OLD_LOAN,random
C7927,0,27,M,3383.75,SELF_EMP,26-30,776,30,SA,3/23/2005,146,7,3,10,0,1,2,0,0,0,13100,0,0,973557,0,986657,0,0,0,0,0,13100,0,0,486778.5,0,1,1,1.14E-05
C6877,0,47,M,287489.04,SAL,46-50,324,28,SA,10-11-2008,104,8,2,10,0,1,1,0,0,0,6600,0,0,799813,0,806413,1,0,0,0,0,6600,0,0,799813,0,1,0,0.000111373
C19922,0,40,M,18216.88,SELF_EMP,36-40,603,2,SA,4/26/2012,61,10,5,15,1,1,1,0,2,0,11200,561120,49320,997570,0,1619210,1,0,0,0,1,11200,561120,24660,997570,0,1,1,0.000119954
C8183,0,53,M,71720.48,SAL,>50,196,13,CA,07-04-2008,107,36,14,50,4,2,3,1,4,0,26100,673590,60780,741506,71388,1573364,0,0,0,0,0,13050,168397.5,15195,247168.67,71388,1,0,0.000136825
C12123,0,36,M,1671622.89,PROF,36-40,167,24,SA,12/29/2001,185,20,1,21,1,0,0,0,0,0,0,808480,0,0,0,808480,0,0,0,0,0,0,808480,0,0,0,1,0,0.000173976
C257,0,42,F,521685.69,PROF,41-45,493,26,SA,06-07-2001,192,5,2,7,1,1,0,0,0,1,18500,379310,0,0,0,397810,0,0,0,0,0,18500,379310,0,0,0,1,1,0.00040584
C8300,0,30,M,204458.6,PROF,26-30,479,14,SA,8/25/2002,177,6,6,12,0,1,1,0,4,0,6200,0,10580,770065,0,786845,1,0,0,0,0,6200,0,2645,770065,0,0,1,0.000499109
C5999,0,53,F,58516.34,SAL,>50,562,25,CA,3/15/2009,99,14,3,17,3,0,0,0,0,0,0,945160,0,0,0,945160,0,0,0,0,0,0,315053.33,0,0,0,1,1,0.000501983
C5692,0,42,F,13158.14,SELF_EMP,41-45,105,15,SA,02-08-2010,88,18,14,32,6,2,4,1,1,1,35400,198430,51490,326421,170332,782073,0,0,0,0,0,17700,33071.67,51490,81605.25,170332,1,1,0.000522769
C3241,0,30,M,831150.18,PROF,26-30,170,13,SA,03-02-2008,111,14,8,22,3,1,0,0,4,0,18000,869880,32610,0,0,920490,0,0,0,0,0,18000,289960,8152.5,0,0,0,0,0.000570937
